"","141 VC","144 VC","149 VC","155 VC","176 VC","177 VC","180 VC","94 VC","119 VC","121 VC","142 VC","143 VC","153 VC","178 VC"
"Xkr4",4697.14944016066,5194.64241888848,4704.03249319981,5755.79272764574,5239.10871851611,4862.1255786763,5190.7071013208,6058.08085059547,4925.48599514359,5987.24295439341,4521.25415935062,4872.78681433168,5381.78314161411,4463.11876830667
"Mrpl15",453.534167719812,510.113700375611,463.761723404558,453.971392086485,493.287054699209,467.573522242912,500.764806335524,487.701216754129,459.56979958297,448.566023681972,456.065246599403,530.688031367386,430.890845952121,518.183173099622
"Rgs20",16.5350998647848,7.40636951543536,10.3058160756568,10.584825204089,21.7498701366494,22.366842749661,19.6674999467124,26.4644071106892,13.3337466029875,8.74862812145689,8.35721656072204,15.1292640521404,22.8502721338246,15.9713991708788
"Atp6v1h",46.0620639090434,62.9541408812006,32.0625389020435,42.3393008163561,51.3296935224926,50.0591242492412,19.6674999467124,35.5379181200683,61.3352343737426,27.8365440228174,34.6227543229913,29.0947385618084,32.6432459054637,56.7871970520134
"Npbwr1",55.5106924032061,16.6643314097296,108.783614131933,28.2262005442374,84.3894961301998,71.3608792489183,75.6442305642786,41.5869254596544,128.00396738868,70.7843548008785,124.164360330727,36.0774758166425,40.2600032834052,31.9427983417575
"Rb1cc1",8.2675499323924,9.2579618942942,1.14509067507298,4.7043667573729,8.69994805465977,2.13017549996771,0,6.80513325703436,6.22241508139417,11.9299474383503,4.77555232041259,9.3103163397787,6.52864918109274,3.54919981575083
"St18",5.90539280885172,5.55477713657652,6.8705440504379,4.7043667573729,1.73998961093195,4.26035099993542,6.05153844514228,5.29288142213783,7.11133152159334,7.15796846301019,7.16332848061889,3.49136862741701,8.70486557479031,3.54919981575083
"Pcmtd1",69.6836351444502,79.6184722909301,61.8348964539411,98.7917019048309,62.6396259935504,66.035440498999,87.7473074545631,77.1248435797227,59.5574014933442,81.1236425807821,75.2149490464983,79.1376888881189,63.1102754172298,49.6887974205117
"Sntg1",4.72431424708137,3.70318475771768,2.29018135014597,12.9370085827755,8.69994805465977,4.26035099993542,1.51288461128557,9.07351100937914,4.44458220099584,0,7.16332848061889,4.65515816988935,4.35243278739516,3.54919981575083
"Rrs1",844.471171665795,872.100010442514,924.088174783897,829.144640986974,878.694753520637,904.259499736293,835.112305429635,827.201753688399,851.581949710803,760.335316737526,916.906045519218,1013.66069149341,934.68494109311,819.865157438443
"Adhfe1",11.8107856177034,5.55477713657652,9.16072540058386,10.584825204089,13.0499220819897,8.52070199987084,19.6674999467124,3.78062958724131,7.11133152159334,7.95329829223354,5.96944040051574,1.16378954247234,7.61675737794153,12.4221993551279
"Vxn",23484.5661222415,16593.9708993329,25541.2475075029,22666.815128712,26383.4624705612,26832.7556853433,22171.32397839,22666.3866273466,19175.7054479764,19841.8885794642,20288.9340332729,24703.7606180603,26621.6551441025,23007.6878056048
"Mybl1",15.3540213030145,16.6643314097296,20.6116321513137,12.9370085827755,17.3998961093195,14.911228499774,19.6674999467124,23.4399034408961,13.3337466029875,27.8365440228174,16.7144331214441,18.6206326795574,17.4097311495806,10.6475994472525
"Vcpip1",2816.87236982227,3158.81659833318,3258.92806125771,3842.29154908432,3826.23715443937,3735.26273919338,3246.65037581884,3860.77893449083,3166.32035998943,3478.77267302295,2985.91408833797,3387.79135813697,3962.89005292329,3307.85422827978
"Sgk3",17.7161784265551,23.1449047357355,18.3214508011677,18.8174670294916,33.0598026077071,26.6271937495964,7.56442305642786,28.732784863034,38.2234069285642,35.7898423150509,21.4899854418567,16.2930535946127,41.348111480254,14.1967992630033
"Mcmdc2",160.626684400767,178.678664559878,117.944339532517,184.646395226886,187.918877980651,213.017549996771,190.623461021982,232.886782574065,212.451029207601,243.370927742346,158.787114653719,203.663169932659,138.189740999796,202.304389497798
"Cops5",519.674567178951,516.594273701617,524.451529183426,551.587002301973,516.77691444679,557.040893241556,417.556152714818,489.213468589025,547.572527162687,501.853122239936,493.0757770826,453.877921564212,621.309780400659,525.281572731124
"Arfgef1",2471.99742978533,2396.88633443277,2623.4027365922,2548.59069080677,2871.85285284319,2745.79621945838,2546.18480079362,2567.04748973685,2288.95983351286,2509.26561119968,2361.51062244403,2588.26794245848,2800.79049868878,2748.85525729902
"Prex2",18.8972569883255,31.4770704406003,17.1763601260947,19.9935587188348,22.6198649421154,20.2366672496932,16.6417307241413,17.39089610131,28.4453260863734,28.6318738520407,14.3266569612378,25.6033699343914,28.2908131180685,23.0697988023804
"A830018L16Rik",349.599254284022,364.763698635192,360.70356264799,405.751632823413,361.917839073846,432.425626493445,337.373268316682,563.313808498955,351.121993878671,430.273437609835,304.441460426303,404.998760780373,462.445983660736,271.513785904939
"Ncoa2",30.7080426060289,34.2544590088886,8.01563472551088,27.0501088548942,10.4399376655917,27.6922814995802,12.1030768902846,21.9276516059996,9.77808084219084,35.7898423150509,15.5205450413409,24.4395803919191,28.2908131180685,35.4919981575083
"Tram1",948.406085101586,1259.08281762401,1110.73795482079,1043.19332844744,1222.3427016797,1002.24757273481,1084.73826629175,1156.87265369584,1192.03694630708,1058.58400269628,1000.47821112644,1066.03122090466,1202.35955751791,1094.92814315913
"Lactb2",11.8107856177034,25.9222933040238,17.1763601260947,14.1131002721187,16.5299013038536,14.911228499774,21.180384557998,22.6837775234479,20.4450781245809,24.655224705924,29.8472020025787,20.9482117645021,7.61675737794153,10.6475994472525
"Kcnb2",89.7619706945461,104.614969405524,97.3327073812035,127.017902449068,86.1294857411317,95.8578974985469,71.1055767304218,92.247361928688,64.8909001345392,76.351663605442,65.6638444056731,82.6290575155359,97.929737716391,63.885596683515
"Sbspon",95.6673635033978,100.911784647807,68.705440504379,89.3829683900851,47.8497143006287,101.183336248466,65.0540382852796,76.3687176622745,74.6689809767301,103.392877799036,76.4088371266015,67.4997934633956,88.1367639447519,83.4061956701446
"4930444P10Rik",1.18107856177034,1.85159237885884,2.29018135014597,4.7043667573729,0.869994805465977,4.26035099993542,1.51288461128557,3.78062958724131,8.88916440199167,7.95329829223354,4.77555232041259,5.81894771236169,2.17621639369758,7.09839963150167
"Rpl7",792.5037149479,748.043321058972,916.072540058386,623.328595351909,770.815397642856,708.283353739263,801.828843981353,608.681363545851,720.911233001525,619.561936964993,809.456118309934,729.696043130155,725.768167298143,736.458961768298
"Rdh10",374.401904081199,525.852235595911,380.17010412423,408.103816202099,377.577745572234,340.828079994834,408.478845047104,370.501699549648,312.898586950107,400.84623392857,329.513110108469,337.498967316978,424.362196771028,443.649976968854
"Stau2",261.018362151246,247.187582577655,240.469041765326,295.199014025149,320.15808841148,323.786675995092,328.295960648969,330.42702592489,344.899578797277,316.541272030895,234.002063700217,318.87833463742,277.467590196441,379.764380285339
"Ube2w",24.8026497971772,45.3640132820416,41.2232643026274,31.7544756122671,55.6796675498225,55.3845629991605,33.2834614482826,63.514577065654,32.8899082873692,53.2870985579647,34.6227543229913,33.7498967316978,39.1718950865564,35.4919981575083
"Eloc",478.336817516989,327.731851058015,467.196995429777,311.664297675955,328.858036466139,385.561765494155,347.963460595681,299.425863309512,366.233573362057,280.751429715844,391.595290273833,346.809283656757,338.401649219974,310.554983878198
